FID,Name,Address,City,Zipcode,geom,,,,,POWER,ADDRESS,SIGNS,S1_1,SPEED,Type,Installation_time,condition,Feet_used
Schools_Elementary.fid--710a7ce6_150abe9529f_-dd6,Talbott Springs,9550 BASKET RING RD,Columbia,21045,POINT (1356699.1532888461 563223.5818441984),,,,,,,,,,,,,
Schools_Elementary.fid--710a7ce6_150abe9529f_-dd5,Clemens Crossing,10320 QUARTERSTAFF RD,Columbia,21044,POINT (1348355.3014194665 556356.8054004504),,,,,,,,,,,,,
Schools_Elementary.fid--710a7ce6_150abe9529f_-dd4,Phelps Luck,5370 OLDSTONE CT,Columbia,21045,POINT (1363830.4980275757 566602.9735501165),,,,,,,,,,,,,
Schools_Elementary.fid--710a7ce6_150abe9529f_-dd3,Running Brook,5215 WEST RUNNING BROOK RD,Columbia,21044,POINT (1352745.8473943677 568939.6032703946),,,,,,,,,,,,,
Schools_Elementary.fid--710a7ce6_150abe9529f_-dd2,Longfellow,5470 HESPERUS DR,Columbia,21044,POINT (1345908.922683018 568184.8227031856),,,,,,,,,,,,,
Schools_Elementary.fid--710a7ce6_150abe9529f_-dd1,Guilford,7335 OAKLAND MILLS RD,Columbia,21046,POINT (1360590.1217421398 547325.1930297363),,,,,,,,,,,,,
Schools_Elementary.fid--710a7ce6_150abe9529f_-dd0,Manor Woods,11575 FREDERICK RD,Ellicott City,21042,POINT (1336683.5667157578 591584.7762709251),,,,,,,,,,,,,
Schools_Elementary.fid--710a7ce6_150abe9529f_-dcf,Bushy Park,14601 CARRS MILL RD,Woodbine,21797,POINT (1306019.398933712 595401.9933853523),,,,,,,,,,,,,
Schools_Middle.fid--710a7ce6_150abe9529f_-e1e,Burleigh Manor MS,4200 CENTENNIAL LN,Ellicott City,21042,POINT (1349837.3521338312 578560.0556958681),,,,,,,,,,,,,
Schools_Middle.fid--710a7ce6_150abe9529f_-e1d,Elkridge Landing,7085 MONTGOMERY RD,Elkridge,21075,POINT (1389179.886786544 563071.6892058186),,,,,,,,,,,,,
Schools_Middle.fid--710a7ce6_150abe9529f_-e1c,Lime Kiln,11650 SCAGGSVILLE RD,Fulton,20759,POINT (1336176.087264986 541910.6155679546),,,,,,,,,,,,,
Schools_Middle.fid--710a7ce6_150abe9529f_-e1b,Patapsco,8885 OLD FREDERICK RD,Ellicott City,21043,POINT (1364081.3111125303 594207.0460972893),,,,,,,,,,,,,
Schools_Middle.fid--710a7ce6_150abe9529f_-e1a,Patuxent Valley,9151 VOLLMERHAUSEN RD,Jessup,20794,POINT (1361027.9471506488 539147.8670008924),,,,,,,,,,,,,
Schools_Middle.fid--710a7ce6_150abe9529f_-e19,Oakland Mills,9540 KILIMANJARO RD,Columbia,21045,POINT (1356673.6915170946 561196.8833455854),,,,,,,,,,,,,
Schools_Middle.fid--710a7ce6_150abe9529f_-e18,Murray Hill,9989 WINTER SUN RD,Laurel,20723,POINT (1352696.9724991664 538549.36903271),,,,,,,,,,,,,
Schools_Middle.fid--710a7ce6_150abe9529f_-e17,Folly Quarter,13500 TRIADELPHIA RD,Ellicott City,21042,POINT (1316869.0403402937 582511.898270131),,,,,,,,,,,,,
Schools_Middle.fid--710a7ce6_150abe9529f_-e16,Bonnie Branch,4979 ILCHESTER RD,Ellicott City,21043,POINT (1376669.3769352506 570244.0069105849),,,,,,,,,,,,,
Schools_Middle.fid--710a7ce6_150abe9529f_-e15,Wilde Lake,10481 CROSS FOX LN,Columbia,21044,POINT (1347310.1981214813 564995.9552893392),,,,,,,,,,,,,
Schools_Middle.fid--710a7ce6_150abe9529f_-e14,Mayfield Woods,7950 RED BARN WAY,Elkridge,21075,POINT (1372870.0123274538 557665.5990012875),,,,,,,,,,,,,
Schools_Middle.fid--710a7ce6_150abe9529f_-e13,Harpers Choice,5450 BEAVERKILL RD,Columbia,21044,POINT (1344093.5276235384 567427.4081595883),,,,,,,,,,,,,
Schools_Middle.fid--710a7ce6_150abe9529f_-e12,Mount View,12101 WOODFORD DR,Marriottsville,21104,POINT (1330267.4928984162 602387.0061025212),,,,,,,,,,,,,
Schools_Middle.fid--710a7ce6_150abe9529f_-e11,Glenwood,2680 RT 97,Glenwood,21738,POINT (1305446.362737281 593950.6723955153),,,,,,,,,,,,,
Schools_Middle.fid--710a7ce6_150abe9529f_-e10,Clarksville,6535 SOUTH TROTTER RD,Clarksville,21029,POINT (1333861.407347942 554937.9701193997),,,,,,,,,,,,,
Schools_Middle.fid--710a7ce6_150abe9529f_-e0f,Ellicott Mills,4445 MONTGOMERY RD,Ellicott City,21043,POINT (1365863.049807051 576746.1239566042),,,,,,,,,,,,,
Schools_Middle.fid--710a7ce6_150abe9529f_-e0e,Thomas Viaduct,7000 BANBURY DR,Hanover,21076,POINT (1387390.2461628593 553122.8677239633),,,,,,,,,,,,,
Schools_Middle.fid--710a7ce6_150abe9529f_-e0d,Dunloggin,9129 NORTHFIELD RD,Ellicott City,21042,POINT (1359899.7272644173 579040.902718716),,,,,,,,,,,,,
Schools_Middle.fid--710a7ce6_150abe9529f_-e0c,Lake Elkhorn,6680 CRADLEROCK WAY,Columbia,21045,POINT (1356658.4729868523 555378.72216834),,,,,,,,,,,,,
Schools_Middle.fid--710a7ce6_150abe9529f_-e0b,Hammond,8100 ALADDIN DR,Laurel,20723,POINT (1346637.6561503892 539708.6113075123),,,,,,,,,,,,,
Schools_High.fid--710a7ce6_150abe9529f_-e2b,Glenelg,14025 BURNTWOODS RD,Glenelg,21737,POINT (1311661.6690210416 585894.5092805235),,,,,,,,,,,,,
Schools_High.fid--710a7ce6_150abe9529f_-e2a,Marriotts Ridge,12100 WOODFORD DR,Marriottsville,21104,POINT (1330830.2858533377 602789.1264977695),,,,,,,,,,,,,
Schools_High.fid--710a7ce6_150abe9529f_-e29,Long Reach,6101 OLD DOBBIN LN,Columbia,21045,POINT (1365779.3478907184 560672.7220443557),,,,,,,,,,,,,
Schools_High.fid--710a7ce6_150abe9529f_-e28,Mt. Hebron,9440 OLD FREDERICK RD,Ellicott City,21042,POINT (1357521.8319140594 594493.5641955048),,,,,,,,,,,,,
Schools_High.fid--710a7ce6_150abe9529f_-e27,Atholton,6520 FREETOWN RD,Columbia,21044,POINT (1346149.1998624203 554196.6520981742),,,,,,,,,,,,,
Schools_High.fid--710a7ce6_150abe9529f_-e26,Applications Research Lab,10920 CLARKSVILLE PK,Ellicott City,21042,POINT (1342742.2977364487 571272.135694069),,,,,,,,,,,,,
Schools_High.fid--710a7ce6_150abe9529f_-e25,Hammond,8800 GUILFORD RD,Columbia,21046,POINT (1351918.4861444647 546560.7545491043),,,,,,,,,,,,,
Schools_High.fid--710a7ce6_150abe9529f_-e24,Reservoir,11550 SCAGGSVILLE RD,Fulton,20759,POINT (1336986.474000388 540904.4365877047),,,,,,,,,,,,,
Schools_High.fid--710a7ce6_150abe9529f_-e23,Howard,8700 OLD ANNAPOLIS RD,Ellicott City,21043,POINT (1365398.2993065747 568135.069815855),,,,,,,,,,,,,
Schools_High.fid--710a7ce6_150abe9529f_-e22,Centennial HS,4300 CENTENNIAL LN,Ellicott City,21042,POINT (1349612.5861487142 577661.5770834866),,,,,,,,,,,,,
Schools_High.fid--710a7ce6_150abe9529f_-e21,River Hill,12101 CLARKSVILLE PK,Clarksville,21029,POINT (1332622.2677893678 564178.8372809453),,,,,,,,,,,,,
Schools_High.fid--710a7ce6_150abe9529f_-e20,Oakland Mills,9410 KILIMANJARO RD,Columbia,21045,POINT (1357905.2218105479 561667.7797909671),,,,,,,,,,,,,
Schools_High.fid--710a7ce6_150abe9529f_-e1f,Wilde Lake,5460 TRUMPETER RD,Columbia,21044,POINT (1348368.76396545 564808.0649736555),,,,,,,,,,,,,
School_Flashing_Signs.1,,,,,POINT (1364982.716365343 561292.8771517291),,,,,electric,,25 fines dbl w/flash,,25,,,,
School_Flashing_Signs.2,,,,,POINT (1365333.620553045 559592.4990611961),,,,,solar,,25 fines dbl w/flash,,25,,,,
School_Flashing_Signs.3,,,,,POINT (1366056.2080755108 561189.2740804643),,,,,solar,,25 fines dbl w/flash,,25,,,,
School_Flashing_Signs.4,,,,,POINT (1361472.2111681066 560943.1436201995),,,,,electric,,S1-1/fines dbl flash,School,25,,,,
School_Flashing_Signs.5,,,,,POINT (1361107.8444344208 560500.3429229575),,,,,solar,,S1-1/fines dbl flash,School,25,,,,
School_Flashing_Signs.6,,,,,POINT (1362020.370920872 560437.1274896433),,,,,solar,,S1-1/fines dbl flash,School,25,,,,
School_Flashing_Signs.7,,,,,POINT (1358735.8023649252 561611.2956306448),,,,,electric,,25 fines dbl w/flash,,25,,,,
School_Flashing_Signs.8,,,,,POINT (1357594.1199327102 560927.6324259142),,,,,electric,,25 fines dbl w/flash,,25,,,,
School_Flashing_Signs.9,,,,,POINT (1357434.032701123 560893.3907328689),,,,,electric,,25 fines dbl w/flash,,25,,,,
School_Flashing_Signs.10,,,,,POINT (1355537.862365742 560903.3413103351),,,,,electric,,25 fines dbl w/flash,,25,,,,
School_Flashing_Signs.11,,,,,POINT (1356072.8522365673 559529.8689559682),,,,,solar,,25 fines dbl w/flash,,25,,,,
School_Flashing_Signs.12,,,,,POINT (1356187.2838774275 560707.5490654871),,,,,solar,,25 fines dbl w/flash,,25,,,,
School_Flashing_Signs.13,,,,,POINT (1346090.374389753 555941.2224592185),,,,,solar,,S1-1/fines dbl flash,,25,,,,
School_Flashing_Signs.14,,,,,POINT (1346815.0105605207 553366.9495359262),,,,,electric,,S1-1/fines dbl flash,,25,,,,
School_Flashing_Signs.15,,,,,POINT (1347944.9864310108 555974.8788241774),,,,,electric,,25 fines dbl w/flash,,25,,,,
School_Flashing_Signs.16,,,,,POINT (1348773.8110011294 556079.3598875717),,,,,solar,,25 fines dbl w/flash,,25,,,,
School_Flashing_Signs.17,,,,,POINT (1350962.3527155884 554285.0366391968),,,,,solar,,S1-1/fines dbl flash,,25,,,,
School_Flashing_Signs.18,,,,,POINT (1351468.3688461445 553242.2746535566),,,,,electric,,S1-1/fines dbl flash,,25,,,,
School_Flashing_Signs.19,,,,,POINT (1350493.7975825516 552849.5195076882),,,,,electric,,S1-1/fines dbl flash,School,25,,,,
School_Flashing_Signs.20,,,,,POINT (1351466.6128618857 547500.2061275226),,,,,solar,,25 fines dbl w/flash,,25,,,,
School_Flashing_Signs.21,,,,,POINT (1352459.0366321092 546963.1676083956),,,,,solar,,25 fines dbl w/flash,,25,,,,
School_Flashing_Signs.22,,,,,POINT (1360378.5256389633 546800.4464004203),,,,,electric,,25 fines dbl w/flash,,25,,,,
School_Flashing_Signs.23,,,,,POINT (1360323.5047988566 548137.335749397),,,,,electric,,25 fines dbl w/flash,,25,,,,
School_Flashing_Signs.24,,,,,POINT (1369703.972708971 560422.2016234441),,,,,solar,,25 fines dbl w/flash,,25,,,,
School_Flashing_Signs.25,,,,,POINT (1372770.7992168358 556786.7288797951),,,,,solar,,25 fines dbl w/flash,,25,,,,
School_Flashing_Signs.26,,,,,POINT (1373513.2878942338 556481.772946863),,,,,electric,,25 fines dbl w/flash,,25,,,,
School_Flashing_Signs.27,,,,,POINT (1359240.647839309 570113.1860833098),,,,,electric,,S1-1/fines dbl flash,School,25,,,,
School_Flashing_Signs.28,,,,,POINT (1358761.2641366767 569020.9638743822),,,,,solar,,S1-1/fines dbl flash,School,25,,,,
School_Flashing_Signs.29,,,,,POINT (1344457.0163650948 566902.0762021862),,,,,electric,,S1-1/fines dbl flash,,25,,,,
School_Flashing_Signs.30,,,,,POINT (1356876.5076989774 556196.1328407769),,,,,solar,,25 fines dbl w/flash,,25,,,,
School_Flashing_Signs.31,,,,,POINT (1356055.585058023 555207.8063671573),,,,,solar,,25 fines dbl w/flash,,25,,,,
School_Flashing_Signs.32,,,,,POINT (1370456.704627878 573567.2071202239),,,,,solar,,S1-1/fines dbl flash,,25,,,,
School_Flashing_Signs.33,,,,,POINT (1371497.4179652163 575151.982913724),,,,,solar,,S1-1/fines dbl flash,,25,,,,
School_Flashing_Signs.34,,,,,POINT (1372072.210145906 574281.6000494822),,,,,solar,,S1-1/fines dbl flash,,25,,,,
School_Flashing_Signs.35,,,,,POINT (1377186.8069634887 563718.1840770729),,,,,solar,,25 fines dbl w/flash,,25,,,,
School_Flashing_Signs.36,,,,,POINT (1377907.0531736093 563689.7956648901),,,,,solar,,25 fines dbl w/flash,,25,,,,
School_Flashing_Signs.37,,,,,POINT (1387758.7101931486 562574.1603325128),,,,,electric,,25 fines dbl w/flash,,25,,,,
School_Flashing_Signs.38,,,,,POINT (1388940.194935228 562121.9943858909),,,,,electric,,25 fines dbl w/flash,,25,,,,
School_Flashing_Signs.39,,,,,POINT (1375463.015749506 569900.4193239609),,,,,electric,,25 fines dbl w/flash,,25,,,,
School_Flashing_Signs.40,,,,,POINT (1376772.9800065155 571083.3673862559),,,,,electric,,25 fines dbl w/flash,,25,,,,
School_Flashing_Signs.41,,,,,POINT (1377242.1204676386 571787.224409962),,,,,electric,,25 fines dbl w/flash,,25,,,,
School_Flashing_Signs.42,,,,,POINT (1377117.445585269 572922.1755691852),,,,,electric,,25 fines dbl w/flash,,25,,,,
School_Flashing_Signs.43,,,,,POINT (1377796.1335012666 573330.7345733821),,,,,solar,,25 fines dbl w/flash,,25,,,,
School_Flashing_Signs.44,,,,,POINT (1370711.0296813503 561883.4731907473),,,,,solar,,25 fines dbl w/flash,,25,,,,
School_Flashing_Signs.45,,,,,POINT (1370056.0475528454 561235.5149992774),,,,,electric,,25 fines dbl w/flash,,25,,,,
School_Flashing_Signs.46,,,,,POINT (1372021.286602403 553708.1958102053),,,,,solar,,25 fines dbl w/flash,,25,,,,
School_Flashing_Signs.47,,,,,POINT (1363597.8301132943 595526.6682677219),,,,,solar,,25 fines dbl w/flash,,25,,,,
School_Flashing_Signs.48,,,,,POINT (1364496.894053762 595030.3100505887),,,,,solar,,25 fines dbl w/flash,,25,,,,
School_Flashing_Signs.49,,,,,POINT (1364877.0646457763 595029.1393944161),,,,,solar,,25 fines dbl w/flash,,25,,,,
School_Flashing_Signs.50,,,,,POINT (1364237.0083834706 596020.9778365532),,,,,solar,,S1-1/fines dbl flash,,25,,,,
School_Flashing_Signs.51,,,,,POINT (1359482.68100297 591890.0248679003),,,,,solar,,25 fines dbl w/flash,,25,,,,
School_Flashing_Signs.52,,,,,POINT (1360121.27394506 591102.7585919048),,,,,solar,,25 fines dbl w/flash,,25,,,,
School_Flashing_Signs.53,,,,,POINT (1350923.7210618963 583197.6101231634),,,,,electric,,25 fines dbl w/flash,,25,,,,
School_Flashing_Signs.54,,,,,POINT (1351387.8862342862 581621.6142509569),,,,,electric,,25 fines dbl w/flash,,25,,,,
School_Flashing_Signs.55,,,,,POINT (1350307.6632511267 579004.612377369),,,,,solar,,25 fines dbl w/flash,,25,,,,
School_Flashing_Signs.56,,,,,POINT (1349880.0810841268 576721.8328410251),,,,,solar,,25 fines dbl w/flash,,25,,,,
School_Flashing_Signs.57,,,,,POINT (1363978.5860333948 567226.6406260073),,,,,electric,,S1-1/fines dbl flash,,25,,,,
School_Flashing_Signs.58,,,,,POINT (1364738.0492252938 566960.0236827242),,,,,solar,,S1-1/fines dbl flash,,25,,,,
School_Flashing_Signs.59,,,,,POINT (1360366.8190772384 539390.4854926397),,,,,electric,,25 fines dbl w/flash,,25,,,,
School_Flashing_Signs.60,,,,,POINT (1361275.8335951723 539595.3503228244),,,,,solar,,25 fines dbl w/flash,,25,,,,
School_Flashing_Signs.61,,,,,POINT (1361606.5439638991 539643.3472258963),,,,,solar,,25 fines dbl w/flash,,25,,,,
School_Flashing_Signs.62,,,,,POINT (1362982.0649665678 539758.3641948429),,,,,solar,,25 fines dbl w/flash,,25,,,,
School_Flashing_Signs.63,,,,,POINT (1361472.2111681066 539144.6476964181),,,,,solar,,25 fines dbl w/flash,,25,,,,
School_Flashing_Signs.64,,,,,POINT (1361646.3462737636 538568.0995314698),,,,,solar,,25 fines dbl w/flash,,25,,,,
School_Flashing_Signs.65,,,,,POINT (1362128.9492808701 536619.5423323701),,,,,solar,,25 fines dbl w/flash,,25,,,,
School_Flashing_Signs.66,,,,,POINT (1362243.0882576872 535977.7300858058),,,,,solar,,25 fines dbl w/flash,,25,,,,
School_Flashing_Signs.67,,,,,POINT (1357462.4211133057 534444.1704998517),,,,,solar,,25 fines dbl w/flash,,25,,,,
School_Flashing_Signs.68,,,,,POINT (1356985.3787230186 534810.8785458823),,,,,solar,,25 fines dbl w/flash,,25,,,,
School_Flashing_Signs.69,,,,,POINT (1360733.5271232692 527436.9153154056),,,,,solar,,25 fines dbl w/flash,,25,,,,
School_Flashing_Signs.70,,,,,POINT (1356505.7023563432 529000.9119618442),,,,,solar,,S1-1/fines dbl flash,,25,,,,
School_Flashing_Signs.71,,,,,POINT (1356105.92327344 529244.701109764),,,,,solar,,S1-1/fines dbl flash,,25,,,,
School_Flashing_Signs.72,,,,,POINT (1353273.5206641147 537072.2936070783),,,,,solar,,25 fines dbl w/flash,,25,,,,
School_Flashing_Signs.73,,,,,POINT (1352406.9424324336 537173.8480300413),,,,,electric,,25 fines dbl w/flash,,25,,,,
School_Flashing_Signs.74,,,,,POINT (1348139.3153556432 539386.095531993),,,,,solar,,25 fines dbl w/flash,,25,,,,
School_Flashing_Signs.75,,,,,POINT (1346597.5611764817 540479.488397093),,,,,electric,,S1-1/fines dbl flash,,25,,,,
School_Flashing_Signs.76,,,,,POINT (1347498.381101208 541151.4450400987),,,,,solar,,S1-1/fines dbl flash,,25,,,,
School_Flashing_Signs.77,,,,,POINT (1312474.982396875 585981.1378372873),,,,,solar,,25 fines dbl w/flash,,25,,,,
School_Flashing_Signs.78,,,,,POINT (1310939.6668266621 587223.7893643791),,,,,solar,,25 fines dbl w/flash,,25,,,,
School_Flashing_Signs.79,,,,,POINT (1316958.5955374886 574609.0911137346),,,,,solar,,25 fines dbl w/flash,,25,,,,
School_Flashing_Signs.80,,,,,POINT (1316188.8891040804 572948.222669023),,,,,solar,,25 fines dbl w/flash,,25,,,,
School_Flashing_Signs.81,,,,,POINT (1316526.330745799 581752.7277422751),,,,,solar,,25 fines dbl w/flash,,25,,,,
School_Flashing_Signs.82,,,,,POINT (1318095.3026809706 581958.7632286323),,,,,solar,,25 fines dbl w/flash,,25,,,,
School_Flashing_Signs.83,,,,,POINT (1318261.8285215064 582257.5732166588),,,,,solar,,25 fines dbl w/flash,,25,,,,
School_Flashing_Signs.84,,,,,POINT (1318853.8878807402 582615.2086773528),,,,,electric,,25 fines dbl w/flash,,25,,,,
School_Flashing_Signs.85,,,,,POINT (1323904.6839369226 579050.5606321389),,,,,electric,,30 fines dbl w/flash,,30,,,,
School_Flashing_Signs.86,,,,,POINT (1325140.6041910225 579173.4795302497),,,,,solar,,30 fines dbl w/flash,,30,,,,
School_Flashing_Signs.87,,,,,POINT (1340592.0950116387 595401.9933853523),,,,,solar,,35 fines dbl w/flash,,35,,,,
School_Flashing_Signs.88,,,,,POINT (1340460.3961922342 594203.5341287719),,,,,solar,,35 fines dbl w/flash,,35,,,,
School_Flashing_Signs.89,,,,,POINT (1332742.5527110905 555018.7453953011),,,,,solar,,30 fines dbl w/flash,,30,,,,
School_Flashing_Signs.90,,,,,POINT (1332455.4492847887 555224.7808816583),,,,,solar,,25 fines dbl w/flash,,25,,,,
School_Flashing_Signs.91,,,,,POINT (1285598.472660901 612592.4939501936),,,,,solar,,25 fines dbl w/flash,,25,,,,
School_Flashing_Signs.92,,,,,POINT (1283978.2845181832 612679.1225069574),,,,,solar,,35 fines dbl w/flash,,35,,,,
School_Flashing_Signs.93,,,,,POINT (1334047.83434341 554323.0829648025),,,,,solar,,30 fines dbl w/flash,,30,,,,
School_Flashing_Signs.94,,,,,POINT (1361248.9085032053 526140.9989324658),,,,,solar,,25 fines dbl w/flash,,25,,,,
School_Flashing_Signs.95,,,,,POINT (1344229.6164035897 564282.7330162532),,,,,solar,,25 fines dbl w/flash,,25,,,,
School_Flashing_Signs.96,,,,,POINT (1344016.8496442407 565247.9390304664),,,,,electric,,25 fines dbl w/flash,,25,,,,
School_Flashing_Signs.97,,,,,POINT (1350005.6339586258 566765.6947580918),,,,,solar,,25 fines dbl w/flash,,25,,,,
School_Flashing_Signs.98,,,,,POINT (1350541.7944856235 566580.7310828393),,,,,solar,,25 fines dbl w/flash,,25,,,,
School_Flashing_Signs.99,,,,,POINT (1390996.7451662393 561188.396088335),,,,,electric,,25 fines dbl w/flash,,25,,,,
School_Flashing_Signs.100,,,,,POINT (1393269.2814610738 562641.4730624307),,,,,electric,,25 fines dbl w/flash,,25,,,,
School_Flashing_Signs.101,,,,,POINT (1364634.4461540289 577356.9138145976),,,,,electric,,S1-1/fines dbl flash,School,25,,,,
School_Flashing_Signs.102,,,,,POINT (1366472.9616729151 575889.496302389),,,,,electric,,S1-1/fines dbl flash,School,25,,,,
School_Flashing_Signs.103,,,,,POINT (1365652.0390319608 567395.5077788882),,,,,electric,,S1-1/fines dbl flash,School,40,,,,
School_Flashing_Signs.104,,,,,POINT (1352639.3176826716 568205.6018502471),,,,,electric,,S1-1/fines dbl flash,,25,,,,
School_Flashing_Signs.105,,,,,POINT (1352169.8845575056 569000.1847273207),,,,,electric,,S1-1/fines dbl flash,,25,,,,
School_Flashing_Signs.106,,,,,POINT (1356913.3833684106 562855.9958060384),,,,,solar,,S1-1/fines dbl flash,School,25,,,,
School_Flashing_Signs.107,,,,,POINT (1356083.0954780765 562851.3131813485),,,,,solar,,S1-1/fines dbl flash,School,25,,,,
